sound,brand,industry,ratings,having_finished_successfully,having_a_problem,process_ongoing,being_ready,having_news,being_empty,shutting_down,negative_warnigns,urgency_reminder,encouraging_confirmations,starting_prompts,waiting_prompts,sophistication,positivity,progressiveness,dominance,solidity,purity,playfulness
/66/1.mp3,Mercedes,Mobility,"[0.16412869381544204, -0.5429142519282553, -0.2965039807692287, 0.12305231595545219, 0.08089662539235776, -0.5473970965784659, -0.4681892354567856, -0.3321752349531164, -0.003110541268610878, -0.005807566178594015, 0.04918333279851894, -0.26101893856249103, -0.13641476245534878, 0.1788550925851191, 0.17108263048230965, -0.20651744028096886, 0.16403571596418454, 0.14475620616360163, -0.053728410058643594]",0.164128693815442,-0.5429142519282553,-0.2965039807692287,0.1230523159554521,0.0808966253923577,-0.5473970965784659,-0.4681892354567856,-0.3321752349531164,-0.0031105412686108,-0.005807566178594,0.0491833327985189,-0.261018938562491,-0.1364147624553487,0.1788550925851191,0.1710826304823096,-0.2065174402809688,0.1640357159641845,0.1447562061636016,-0.0537284100586435
/66/2.mp3,Sil,Future,"[0.007314998364895686, -0.13487960436409874, -0.10139984681503889, -0.09186240613124352, 0.1221497858338807, -0.31031220662413694, -0.25859059290405983, -0.3091333456562215, -0.1217326630745299, -0.047785516103738046, 0.04415973047235533, -0.13165585703619287, -0.16704720790291483, -0.1385423341782247, 0.01686449242575061, -0.05653767050930991, 0.10925824665740391, 0.12751944385892178, -0.07627965313613094]",0.0073149983648956,-0.1348796043640987,-0.1013998468150388,-0.0918624061312435,0.1221497858338807,-0.3103122066241369,-0.2585905929040598,-0.3091333456562215,-0.1217326630745299,-0.047785516103738,0.0441597304723553,-0.1316558570361928,-0.1670472079029148,-0.1385423341782247,0.0168644924257506,-0.0565376705093099,0.1092582466574039,0.1275194438589217,-0.0762796531361309
/66/3.mp3,Hyundai,Mobility,"[0.0864660867278999, -0.3745778093313731, -0.03825581627806163, 0.11375990267279135, -0.09086640716252703, -0.18955788395037765, 0.011074755729104213, -0.37427431873791284, -0.26851313392999954, -0.007638270342181563, 0.06338020982656456, 0.07411452746697389, 0.19638983526172327, 0.008199810461011925, 0.18389541015636124, 0.22510550714768573, 0.11608588947414322, 0.016475737850155214, 0.06557826579555326]",0.0864660867278999,-0.3745778093313731,-0.0382558162780616,0.1137599026727913,-0.090866407162527,-0.1895578839503776,0.0110747557291042,-0.3742743187379128,-0.2685131339299995,-0.0076382703421815,0.0633802098265645,0.0741145274669738,0.1963898352617232,0.0081998104610119,0.1838954101563612,0.2251055071476857,0.1160858894741432,0.0164757378501552,0.0655782657955532
/66/4.mp3,Google,Os,"[0.5232001184913375, -0.36330493844800393, 0.28491976038323386, 0.3530610810243602, 0.2701762816598339, -0.409516305988471, -0.13838632736743262, -0.5261935643837012, 0.35250571250401075, 0.2135186671938596, 0.2777635599655204, -0.25621010327816485, 0.11493393106833039, 0.44588164126495444, 0.19301804713879345, -0.1199918855708022, 0.11008425679244316, -0.016342910666346744, 0.09972077008482039]",0.5232001184913375,-0.3633049384480039,0.2849197603832338,0.3530610810243602,0.2701762816598339,-0.409516305988471,-0.1383863273674326,-0.5261935643837012,0.3525057125040107,0.2135186671938596,0.2777635599655204,-0.2562101032781648,0.1149339310683303,0.4458816412649544,0.1930180471387934,-0.1199918855708022,0.1100842567924431,-0.0163429106663467,0.0997207700848203
/66/5.mp3,Deutsche,Mobility,"[-0.031673440620742954, -0.23668990714389704, 0.025223422052495392, 0.33494638855331993, 0.06652622797009244, -0.01808252586178516, 0.0042406378554886714, -0.3640216443355484, 0.040097671945483304, -0.1673235456558465, 0.17814168490842675, -0.03741072723668448, 0.42504294039553847, 0.26518446584866706, 0.23893655663019353, 0.17504985129370954, 0.13329969058061875, -0.03348879968409202, 0.19755318535725608]",-0.0316734406207429,-0.236689907143897,0.0252234220524953,0.3349463885533199,0.0665262279700924,-0.0180825258617851,0.0042406378554886,-0.3640216443355484,0.0400976719454833,-0.1673235456558465,0.1781416849084267,-0.0374107272366844,0.4250429403955384,0.265184465848667,0.2389365566301935,0.1750498512937095,0.1332996905806187,-0.033488799684092,0.197553185357256
/66/6.mp3,KaÌˆrcher,Home,"[-0.007714275322571518, -0.2691508904092521, 0.014399612724492084, -0.10307828646398565, 0.32129014410665024, 0.09596201020695139, 0.3521619716369524, -0.11752289039800168, 0.07919202266925884, -0.21038027166457995, -0.2508729744109771, 0.19702868500855186, 0.0564578719289881, -0.11086013171970044, 0.1263854444492858, 0.06376168951458427, 0.1299292390116642, 0.17069981100970555, -0.10212237694139858]",-0.0077142753225715,-0.2691508904092521,0.014399612724492,-0.1030782864639856,0.3212901441066502,0.0959620102069513,0.3521619716369524,-0.1175228903980016,0.0791920226692588,-0.2103802716645799,-0.2508729744109771,0.1970286850085518,0.0564578719289881,-0.1108601317197004,0.1263854444492858,0.0637616895145842,0.1299292390116642,0.1706998110097055,-0.1021223769413985
/66/7.mp3,Skype,Apps,"[0.1608922226782885, -0.14263376523129712, 0.13890475224875498, -0.18092028780557234, 0.31385738471834435, -0.12187321341923751, -0.12144583778733398, -0.16521281757333772, 0.15835278650640272, -0.06408334658458092, -0.10169649828101346, -0.14123747853173474, -0.32828807617725786, -0.2102662873807173, 0.1400788834121991, 0.20574616791133482, 0.10745206600309931, -0.04357425621534339, -0.11084688958532352]",0.1608922226782885,-0.1426337652312971,0.1389047522487549,-0.1809202878055723,0.3138573847183443,-0.1218732134192375,-0.1214458377873339,-0.1652128175733377,0.1583527865064027,-0.0640833465845809,-0.1016964982810134,-0.1412374785317347,-0.3282880761772578,-0.2102662873807173,0.1400788834121991,0.2057461679113348,0.1074520660030993,-0.0435742562153433,-0.1108468895853235
/31/1.mp3,Nikola,Mobility,"[0.3029362391257151, 0.23810152367478543, 0.2458774123791374, 0.11789915182145538, 0.3291467187119548, 0.26851046636255194, 0.3797336093160848, -0.0039434656712776794, 0.16356835382405954, 0.12035377542257031, 0.2983835214103765, 0.05598644604041314, 0.16671075143334257, 0.02652839575964383, 0.20976477857752185, 0.46751039616372214, 0.17590887264611488, 0.007513899103070543, 0.343868809122857]",0.3029362391257151,0.2381015236747854,0.2458774123791374,0.1178991518214553,0.3291467187119548,0.2685104663625519,0.3797336093160848,-0.0039434656712776,0.1635683538240595,0.1203537754225703,0.2983835214103765,0.0559864460404131,0.1667107514333425,0.0265283957596438,0.2097647785775218,0.4675103961637221,0.1759088726461148,0.0075138991030705,0.343868809122857
/31/2.mp3,Steam,Apps,"[0.15272643719508894, 0.12548737690099654, 0.45355582567796837, 0.2505406836301616, 0.2935810524495517, 0.23583093888047935, 0.14216609646954015, 0.041362269415528674, 0.350449393524388, 0.24974077104938974, 0.2540632810943979, 0.06867308541576511, 0.4128651642028167, 0.22424854224408874, 0.19492658508334415, 0.23127673844730334, 0.29124503884461483, 0.3624596948674057, 0.3954093547526403]",0.1527264371950889,0.1254873769009965,0.4535558256779683,0.2505406836301616,0.2935810524495517,0.2358309388804793,0.1421660964695401,0.0413622694155286,0.350449393524388,0.2497407710493897,0.2540632810943979,0.0686730854157651,0.4128651642028167,0.2242485422440887,0.1949265850833441,0.2312767384473033,0.2912450388446148,0.3624596948674057,0.3954093547526403
/31/3.mp3,Apple,Os,"[0.36295311532003516, 0.1906006480211171, 0.3185876600581756, 0.19501609796518427, 0.6101018909471161, 0.18505780394794558, 0.14765531181222347, -0.012486801526952807, 0.49423427937828635, 0.4306180532609447, 0.19099181516850083, 0.12061449096253174, 0.1403703897467743, 0.12138246582395773, 0.23023660990859485, 0.19734746703334727, 0.3068475220593285, 0.1926975998714786, 0.18871749713783492]",0.3629531153200351,0.1906006480211171,0.3185876600581756,0.1950160979651842,0.6101018909471161,0.1850578039479455,0.1476553118122234,-0.0124868015269528,0.4942342793782863,0.4306180532609447,0.1909918151685008,0.1206144909625317,0.1403703897467743,0.1213824658239577,0.2302366099085948,0.1973474670333472,0.3068475220593285,0.1926975998714786,0.1887174971378349
