Original Name,Marke,Branche,New Name
240229_Sounds_großes_Hörexperiment/Mobility/Skoda_wdb_mobility-004.mp3,Skoda,Mobility,/9/3.mp3
240229_Sounds_großes_Hörexperiment/Mobility/Rolls_Royce_Warn_mobility-002.mp3,Rolls,Mobility,/9/4.mp3
240229_Sounds_großes_Hörexperiment/health/Philips_health-002.mp3,Philips,Health,/9/5.mp3
240229_Sounds_großes_Hörexperiment/home/simplehuman_home-004.mp3,Simplehuman,Home,/9/6.mp3
240229_Sounds_großes_Hörexperiment/os/oppo_OS-023.mp3,Oppo,Os,/9/7.mp3
240229_Sounds_großes_Hörexperiment/apps/steam_apps-028.mp3,Steam,Apps,/10/1.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-081.mp3,Sil,Future,/10/2.mp3
240229_Sounds_großes_Hörexperiment/os/Blackberry_OS-006.mp3,Blackberry,Os,/10/3.mp3
240229_Sounds_großes_Hörexperiment/apps/steam_apps-023.mp3,Steam,Apps,/10/4.mp3
240229_Sounds_großes_Hörexperiment/consumer/Nintendo_Wii_consumer-004.mp3,Nintendo,Consumer,/10/5.mp3
240229_Sounds_großes_Hörexperiment/consumer/xbox_consumer-009.mp3,Xbox,Consumer,/10/6.mp3
240229_Sounds_großes_Hörexperiment/Mobility/chefr_warn_mobility.mp3,Chefr,Mobility,/10/7.mp3
240229_Sounds_großes_Hörexperiment/consumer/Jabra_Consumer-006.mp3,Jabra,Consumer,/11/1.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Vision_consumer-010.mp3,Apple,Consumer,/11/2.mp3
240229_Sounds_großes_Hörexperiment/os/Microsoft_surface_OS-002.mp3,Microsoft,Os,/11/3.mp3
240229_Sounds_großes_Hörexperiment/health/vierra_health-026.mp3,Vierra,Health,/11/4.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-063.mp3,Sil,Future,/11/5.mp3
240229_Sounds_großes_Hörexperiment/home/alexa_home-011.mp3,Alexa,Home,/11/6.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-086.mp3,Sil,Future,/11/7.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-074.mp3,Sil,Future,/12/1.mp3
240229_Sounds_großes_Hörexperiment/health/erbe_health-005.mp3,Erbe,Health,/12/2.mp3
240229_Sounds_großes_Hörexperiment/os/huawei_OS-007.mp3,Huawei,Os,/12/3.mp3
240229_Sounds_großes_Hörexperiment/os/Blackberry_OS-004.mp3,Blackberry,Os,/12/4.mp3
240229_Sounds_großes_Hörexperiment/Mobility/Mercedes_Mobility-012.mp3,Mercedes,Mobility,/12/5.mp3
